guid,expression,meaning,add reverse?,kana,mnemonic,notes,tags
EsIm62|>.1,学部,department; faculty,Y,がくぶ,,,"Genki, Kanji_Practice, lesson-6, 大_and_学"
e1.U(lN@0o,外国,foreign country,Y,がいこく,,,"Genki, Kanji_Practice, leech, lesson-6, 外_and_国"
m|~Hei[2$m,外国人,foreigner,Y,がいこくじん,,,"Genki, Kanji_Practice, lesson-6, 外_and_国"
FCcmyWCkR),外,outside,Y,そと,,,"Genki, Kanji_Practice, lesson-6, 外_and_国"
pDJE7FwFol,海外,overseas,Y,かいがい,,,"Genki, Kanji_Practice, lesson-6, 外_and_国"
wl-xS3N#-@,国,country,Y,くに,,,"Genki, Kanji_Practice, lesson-6, 外_and_国"
F4c#GfWIr:,韓国,South Korea,Y,かんこく,,,"Genki, Kanji_Practice, lesson-6, 外_and_国"
wT~GrG:Kq/,ごご,P.M.,Y,,,,Genki
L*$6Iqfk6-,ごぜん,A.M.,Y,,,,Genki
dJ^0;1}T2a,～じ,O'clock,Y,,,,"Genki, leech"
jt{1]LzkGp,二時,Two o'clock,Y,にじ,,,"Genki, Kanji_Practice, 一_and_二"
&5nEne{ab,二年生,Second-year student,Y,にねんせい,,,"Genki, Kanji_Practice, 一_and_二"
FH[q#{n&f>,二つ,Two things,Y,ふたつ,,,"Genki, Japanese::Counters::つ, Kanji_Practice, 一_and_二"
I)Z&n9D{5C,二日間,Two days,Y,ふつかかん,,,"Genki, Japanese::Counters::日, Kanji_Practice, leech, 一_and_二"
n3#}$7x/P`,三時,Three o'clock,Y,さんじ,,,"Genki, Kanji_Practice, 三_and_四"
C-GE[lC{:E,三年生,Third-year student,Y,さんねんせい,,,"Genki, Kanji_Practice, 三_and_四"
fByhqF9^L,三月,March,Y,さんがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
z49Z~hQ2/,四時,Four o'clock,Y,よじ,,,"Genki, Kanji_Practice, 三_and_四"
NeO/#u~eyC,四年生,Fourth-year student,Y,よねんせい,,,"Genki, Kanji_Practice, 三_and_四"
NA|?#REbg6,四月,April,Y,しがつ,,,"Genki, Japanese::Counters::月, leech, lesson-4, Months, Useful_Expressions"
C:<2GCFr>D,四つ,Four things,Y,よっつ,,,"Genki, Japanese::Counters::つ, Kanji_Practice, 三_and_四"
A:XQ^JrQn#,五時,Five o'clock,Y,ごじ,,,"Genki, Kanji_Practice, 五_and_六"
i;t/oO9vg[,五月,May,Y,ごがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
I8EkbYi3=b,五歳,Five years old,Y,ごさい,,,"Genki, Kanji_Practice, 五_and_六"
o|U[qMKuw#,五つ,Five things,Y,いっつ,,,"Genki, Japanese::Counters::つ, Kanji_Practice, 五_and_六"
jiN!+<9[1@,六時,Six o'clock,Y,ろくじ,,,"Genki, Kanji_Practice, 五_and_六"
y=]sU)R!L`,六百,600 / Six hundred,Y,ろっぴゃく,,,"Genki, Kanji_Practice, 五_and_六"
jRM;HXwd|=,六分,Six minutes,Y,ろっぷん,,,"Genki, Kanji_Practice, 五_and_六"
d=])S`_@Em,六つ,Six things,Y,むっつ,,,"Genki, Japanese::Counters::つ, Kanji_Practice, 五_and_六"
DnhXTS)oQ9,九月,September,Y,くがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
pG)K/d?A3f,九歳,Nine years old,Y,きゅうさい,,,"Genki, Kanji_Practice, 九_and_十"
G_;B`E`bZ9,九つ,Nine things,Y,ここのつ,,,"Genki, Japanese::Counters::つ, Kanji_Practice, 九_and_十"
re6v5CNvY?,十時,Ten o'clock,Y,じゅうじ,,,"Genki, Kanji_Practice, 九_and_十"
c_vzP_`95~,十月,October,Y,じゅうがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
c.mN`o/5D,十歳,Ten years old,Y,じゅっさい／じっさい,,,"Genki, Kanji_Practice, 九_and_十"
hZ4z%ybP*2,三百,300 / Three hundred,Y,さんびゃく,,,"_and_万, _千, Genki, Kanji_Practice, 百"
b`Uz]AH>)l,にじゅうくにち,29th (of of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
MQ7{a}8(*i,さんじゅうにち,30th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
DLw+nvJvDO,三千,"3,000 / Three thousand",Y,さんぜん,,,"_and_万, _千, Genki, Kanji_Practice, 百"
ILggC<&<?C,八千,"8,000 / Eight thousand",Y,はっせん,,,"_and_万, _千, Genki, Kanji_Practice, 百"
Czw6l[}9v(,千円,"1,000 Yen",Y,せんえん,,,"_and_万, _千, Genki, Kanji_Practice, 百"
wnt+S84GzC,十万,"100,000 / One hundred thousand",Y,じゅうまん,,,"_and_万, _千, Genki, Kanji_Practice, 百"
LGpIjy67e>,百万,"1,000,000 / One million",Y,ひゃくまん,,,"_and_万, _千, Genki, Kanji_Practice, 百"
c<7]]!V>R#,百円,One hundred Yen,Y,ひゃくえん,,,"Genki, Kanji_Practice, 円_and_時"
L^Q[_jR1%o,十一月,November,Y,じゅういちがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
c;xqumu`fB,三日,Three days,Y,みっか,,,"Genki, Japanese::Counters::日, Kanji_Practice, lesson-4, 日_and_本"
y|XW5}48bw,三人,Three people,Y,さんにん,,,"Genki, Japanese::Counters::人, Kanji_Practice, lesson-4, 人_and_月"
IkK+A?D9=b,一か月,One month,Y,いっかげつ,,,"Genki, Japanese::Counters::月, Kanji_Practice, leech, lesson-4, 人_and_月"
"zS1B$,mqd8",曜日,Day of the week,Y,ようび,,,"_and_下, _上, Genki, Kanji_Practice, lesson-4, 曜"
DVAb@;PpPg,三時半,Half past three,Y,さんじはん,,,"Genki, Kanji_Practice, lesson-4, 中_and_半"
"Pu,<^]zt-r",半年,Half a year,Y,はんとし,,,"Genki, Kanji_Practice, leech, lesson-4, 中_and_半"
"zNU,}SSyDU",土曜日,Saturday,Y,どようび,,,"Days, Genki, Kanji_Practice, lesson-4"
qGYVd2_b3G,一時,One o'clock,Y,いちじ,,,"Genki, Kanji_Practice, 一_and_二"
klmr#Z0lof,一つ,One thing,Y,ひとつ,,,"Genki, Kanji_Practice, 一_and_二"
g+rA[oKTg*,なのか,7th (of the month),Y,,,,"Days_1-15, Genki, Japanese::Counters::日, leech, lesson-4, Useful_Expressions"
"b,2gvnIRur",七時,Seven o'clock,Y,しちじ,,,"Genki, Kanji_Practice, 七_and_八"
Hu)j-n`)eo,七月,July,Y,しちがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
s%IVwoqQ&[,七つ,Seven things,Y,ななつ,,,"Genki, Japanese::Counters::つ, Kanji_Practice, 七_and_八"
k[jz`s(^S6,八時,Eight O'clock,Y,はちじ,,,"Genki, Kanji_Practice, 七_and_八"
heXb.lUvqM,八百,Eight hundred,Y,はっぴゃく,,,"Genki, Kanji_Practice, 七_and_八"
A0Y3WVHdlG,八歳,Eight years old,Y,はっさい,,,"Genki, Kanji_Practice, 七_and_八"
q>$<B4%MBf,八つ,Eight things,Y,やっつ,,,"Genki, Japanese::Counters::つ, Kanji_Practice, 七_and_八"
s@&1>HL>-N,九時,Nine o'clock,Y,くじ,,,"Genki, Kanji_Practice, 九_and_十"
IG=wP&:uC$,はつか,20th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, leech, lesson-4, Useful_Expressions"
K;6v3r6U:V,にじゅういちにち,21st (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
f*h5cR*!l(,にじゅうににち,22nd (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
zT>S-f_J!p,にじゅうさんにち,23rd (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
n3xcjuadV8,にじゅうよっか,24th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
zNx]E$n>U`,にじゅうごにち,25th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
Oa5ld/Nj~},にじゅうろくにち,26th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
D[zbj&-bx9,にじゅうしちにち,27th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
Ji%7oUiw/`,にじゅうはちにち,28th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
lc0t71rg~w,さんじゅういちにち,31st (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
"IN,[t:`m_O",一月,January,Y,いちがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
q9ncjy=U3b,二月,February,Y,にがつ,,,"Genki, Japanese::Counters::月, lesson-4, Months, Useful_Expressions"
