guid,radical,radical number,numbers of strokes,alternative,meaning,reading,tags
GNVA-_UfLO,生,100,5,(None)<br>Example: 牲 笙 甥,Life,うむ・うまれる・いきる,Japanese::Kanji::Radicals
j2&es!4]PS,老,125,6,耂、⺹<br>Example: 耆孝耋,Old,おい・おいかんむり・おいがしら,Japanese::Kanji::Radicals
kum{#q#*h:,己,49,3,已、巳<br>Example: 己巳,Myself,おのれ・き・つちのと,Japanese::Kanji::Radicals
kD?ev9wgm/,丨,2,1,(None)<br>Example: 中,Line,ぼう・たてぼう,Japanese::Kanji::Radicals
P:/F%5WYFT,矢,111,5,(None)<br>Example: 医 族 矩,Arrow,や・やへん,Japanese::Kanji::Radicals
I*+[&4ww!x,彡,59,3,(None)<br>Example: 形彦,"Hair, Bristle, Stubble, Beard",さん・さんづくり,Japanese::Kanji::Radicals
fVZe{CT!.X,比,81,4,(None)<br>Example: 皆 批 毕 毖 毘 毚,"Compare, Compete",ひ・くらべる・ならびひ,"Japanese::Kanji::Radicals, leech"
Ant]*2>HGm,色,139,6,(None)<br>Example: 色 艴 艷,"Colour, Prettiness",いろ,Japanese::Kanji::Radicals
sXi:hRXtrA,入,11,2,𠆢<br>Example: 入全兩,Enter,いる・にゅう・いりがしら・いりやね,Japanese::Kanji::Radicals
o4iz5CTI.d,文,67,4,(None)<br>Example: 文 斊 斈 斌 斐 斑 斕,"Script, Literature",ぶん・ぶんにょう,Japanese::Kanji::Radicals
t$=:#!>zhF,彐,58,3,彑<br>Example: 彖,Snout / Pig's Head,けい・けいがしら・いのこがしら,Japanese::Kanji::Radicals
vPIV]X~t{V,襾,146,6,西、覀<br>Example: 西 要 覊,West,にし・かなめのかしら・おおいかんむり,Japanese::Kanji::Radicals
MIQ)1-x+%l,非,175,8,(None)<br>Example: 靠 靠 靟,Wrong,あらず,Japanese::Kanji::Radicals
A_5EJGm:PQ,士,33,3,(None)<br>Example: 士壹,"Scholar, Bachelor",さむらい,Japanese::Kanji::Radicals
w-Dc}@ZknI,几,16,2,(None)<br>Example: 凡,"Desk, Table",つくえ・きにょう・かぜかんむり,Japanese::Kanji::Radicals
Oq2-{J.g]i,癶,105,5,(None)<br>Example: 発 登,Footsteps,はつがしら,Japanese::Kanji::Radicals
qjEahlGN35,亠,8,2,(None)<br>Example: 亡交京,Lid,けいさん・けいさんかんむり・なべぶた,Japanese::Kanji::Radicals
"uG,nPJD}u=",丿,4,1,(None)<br>Example: 久之乎,Bend,の・のかんむり・はらいぼう,Japanese::Kanji::Radicals
"l;,L2hvWrO",卜,25,2,⼘、⺊<br>Example: 占卦,Divination,ぼく・ぼくづくり・ぼくのと・と・うらない,Japanese::Kanji::Radicals
FM[t*u~ofn,虫,142,6,(None)<br>Example: 蚯 蚓 強 触 蟻 蟹,Insect,むし・むしへん,Japanese::Kanji::Radicals
