guid,radical,radical number,numbers of strokes,alternative,meaning,reading,tags
"m|aJ,/~=u~",囗,31,3,"(None)<br>Example: 四回國圖<br><br><span style=""color: rgb(26, 26, 27);"">Mouth is one little square that appears in lots of different places in a Kanji like 語, while enclosure is a big square that wraps around the entire Kanji like 国.</span>",Enclosure,くに・くにがまえ,Japanese::Kanji::Radicals
xlX$2>DkX&,寸,41,3,(None)<br>Example: 寸寺尊將,Sun (Unit Of Measurement),すん・すんづくり,"Japanese::Kanji::Radicals, leech"
"p:F,WW;j=S",食,184,9,飠<br>Example: 飯 飲 餓 餘 餐 養,"Eat, Food",しょく・しょくへん,Japanese::Kanji::Radicals
g_M)9h&^fH,十,24,2,(None)<br>Example: 十千午半博,"Ten, Complete",じゅう・じゅうへん,Japanese::Kanji::Radicals
x`sa9<E-1~,弓,57,3,(None)<br>Example: 弓引弟弱彌,Bow,ゆみ・ゆみへん,"Japanese::Kanji::Radicals, leech"
hlmQ#}%?Ng,月,74,4,⺝<br>Example: 有 服 青 朝,"Moon, Month; Body, Flesh",つき・つきへん,Japanese::Kanji::Radicals
GCptf?I<a),門,169,8,(None)<br>Example: 間 閑 關 闘 閉 開 閏 間 關,Gate,もん・もんがまえ・かどがまえ,Japanese::Kanji::Radicals
rz0}D=G3cq,又,29,2,(None)<br>Example: 友反取受,"Again, Right Hand",また,"Japanese::Kanji::Radicals, leech"
dv2a$>6{?!,子,39,3,(None)<br>Example: 子孔字學,"Child, Seed",こ・こへん,Japanese::Kanji::Radicals
i[R=(aCz]|,欠,76,4,(None)<br>Example: 欣 欽 欧 欲 歌,"Yawn, Lack",あくび・けんづくり・かける・けつ,"Japanese::Kanji::Radicals, leech"
um`-@D7e4M,牛,93,4,牜、⺧<Br />Example: 告 牟 牧 物 特 解,Cow,うし・うしへん,Japanese::Kanji::Radicals
McD(.xN=Y%,隹,172,8,(None)<br>Example: 雀 集 雁 难 雀 雅,Old Bird,ふるとり,Japanese::Kanji::Radicals
v5`90X;Kgw,歹,78,4,歺<br>Example: 死 列 殕,"Death, Decay",がつ・がってん・がつへん・かばね・かばねへん・いちたへん,"Japanese::Kanji::Radicals, leech"
!FxY?}x)h,儿,10,2,(None)<br>Example: 兄元,Legs,にんにょう・ひとあし,Japanese::Kanji::Radicals
KScRjrVRj5,羽,124,6,(None)<br>Example: 習 翀 翁 翔,"Feather, Wing",はね,Japanese::Kanji::Radicals
FayCCjw_=/,足,157,7,⻊<br>Example: 跑 跨 跟 跪 路,Foot,あし・あしへん,Japanese::Kanji::Radicals
k:!#tx109;,艮,138,6,(None)<br>Example: 良 飲 很,Stopping,うしとら・こん・こんづくり・ねづくり,Japanese::Kanji::Radicals
zeu)F+_LUE,穴,116,5,(None)<br>Example: 空 突 窅 窘 窩 窶 竇,Cave,あな・あなかんむり,Japanese::Kanji::Radicals
Ho}-Ce:?@K,走,156,7,赱<br>Example: 赴 起 超,Run,はしる・そうにょう,Japanese::Kanji::Radicals
P6JBRAxM1E,毛,82,4,(None)<br>Example: 毟 毡 毦 毫 毳 耗,"Fur, Hair",け,Japanese::Kanji::Radicals
qKk8TY(nBB,耳,128,6,(None)<br>Example: 取 聞 職 叢,Ear,みみ・みみへん,Japanese::Kanji::Radicals
p}tDf)*s~;,見,147,7,(None)<br>Example: 規 親 覺 觀,See,みる,Japanese::Kanji::Radicals
Pge=C=6Mwq,二,7,2,(None)<br>Example: 五井些亞,Two,に・ふた,Japanese::Kanji::Radicals
mm5|yK~$Si,長,168,8,镸<br>Example: 長,"Long, Grow; Leader",ながい,Japanese::Kanji::Radicals
ioP%E-^D=G,羊,123,6,⺶、⺷<br>Example: 着 羚 翔 着,Sheep,ひつじ・ひつじへん・ひつじかんむり,Japanese::Kanji::Radicals
h=8hhbIx2;,米,119,6,(None)<br>Example: 料 断 奥 糊 麟,Rice,こめ・こめへん,Japanese::Kanji::Radicals
"I(,]T3z7q|",斤,69,4,(None)<br>Example: 斦 斧 新 斥 斬 斷,Axe,おの・おのづくり・きん,"Japanese::Kanji::Radicals, leech"
lJuGPQQu?5,小,42,3,⺌、⺍<br>Example: 小少,"Small, Insignificant",しょう・ちいさい・なおがしら・つ,Japanese::Kanji::Radicals
dmc$7ej@z<,止,77,4,(None)<br>Example: 正 歩 此 步 武 歪 歲,Stop,とまる・とめる・とめへん,Japanese::Kanji::Radicals
"s)9rx,wsy=",豆,151,7,(None)<br>Example: 豈 豐 豎,Bean,まめ・まめへん,Japanese::Kanji::Radicals
uHjvYQyKHf,邑,163,7,阝、⻏<br>Example: 那 邦 郎 部 郭 都 鄉,Town,むら・おおざと・おおざとづくり・ゆう,Japanese::Kanji::Radicals
Di%I/=Af>R,卩,26,2,㔾<br>Example: 印危卵,Seal,ふし・ふしづくり・わりふ,Japanese::Kanji::Radicals
